atto_group,doc_type,category,subcategory,oggetto,numero_atto,data_atto,importo_max,importo_sum,cig,cup,beneficiario,accounting_relevant,missing_amount_expected,anomalie
Delibera_4__5116_DeliberadiGiunta_Copia_4_2026,Delibera,Contenzioso,Nomina,"CONCESSIONE DEL PATROCINIO MORALE ED ADESIONE ALLA ""PETIZIONE POPOLARE PER LA RICHIESTA A SUA SANTITA’ PAPA LEONE XIV PER LA PROCLAMAZIONE DI SANT'ANNA, MADRE DI MARIA SS, A PATRONA DELLA CAMPANIA UNITAMENTE A SAN GENNARO VESCOVO E MARTIRE"" COMITATO SANT'ANNA IN CAMPANIA. Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",,,,0.0,,,,True,True,
Delibera_4__5334_AttestazionePubblicazione,AttestazionePubblicazione,Regolamenti,,APPROVAZIONE PIANO ECONOMICO - FINANZIARIO RIFIUTI 2026,4.0,03/03/2026,,0.0,,,,False,False,
Delibera_4__5334_DeliberadiConsiglio_Copia_4_2026,Delibera,Regolamenti,,"APPROVAZIONE PIANO ECONOMICO - FINANZIARIO RIFIUTI 2026 Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICE SINDACO Presente BIANCARDI DOMENICO CONSIGLIERE Presente BIANCARDI GIOVANNI CONSIGLIERE Presente CARUSO ANTONIA CONSIGLIERE Assente BIANCARDI LUIGI CONSIGLIERE Presente LONGOBARDI NICOLETTA PRESIDENTE DEL CONSIGLIO Presente CERBONE SANTINA CONSIGLIERE Presente D'AVANZO MARIA ROSARIA CONSIGLIERE Presente CACACE CHIARA CONSIGLIERE Presente MAIETTA FATIMA CONSIGLIERE Presente X Pellegrino Vittoria CONSIGLIERE Presente SALAPETE MICHELE CONSIGLIERE Presente Tot. 12 Tot. 1 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",,,,0.0,,,,True,True,
Delibera_4__5334_DeliberadiGiunta_Copia_21_2026,Delibera,Regolamenti,,"Approvazione Piano Industriale Rifiuti anno 2026 – Provvedimenti Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it. 3. Dare atto che sull'importo della tassa sui rifiuti, si applica il tributo provinciale per l'esercizio delle funzioni ambientali di cui all'art. 19 del D.lgs. 504/92, con l'aliquota deliberata dalla provincia, ai sensi dell'art. 1, comma 666, della L. 147/2013. Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it. PROPOSTA DI DELIBERAZIONE DELLA GIUNTA COMUNALE OGGETTO: Approvazione Piano Industriale Rifiuti anno 2026 – Provvedimenti",,,1298325.0,2596650.0,,,,True,False,
Delibera_4__5334_PIANO_COMUNALE_RACCOLTA_DIFFERENZIA2026,Delibera,Ambiente,,,,,1351648.03,7986179.68,,,,True,False,
Delibera_51__5486_AttestazionePubblicazione,AttestazionePubblicazione,Commercio,,"Aggiornamento ONERI CONCESSORI, SUAP e ONERI VARI anno 2026",51.0,10/04/2026,,0.0,,,,False,False,
Delibera_51__5486_DeliberadiGiunta_Copia_51_2026,Delibera,Commercio,,"Aggiornamento ONERI CONCESSORI, SUAP e ONERI VARI anno 2026 Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it. Di adeguare, per",,,2000.0,30694.0,,,,True,False,
Delibera_52__5511_AttestazionePubblicazione,AttestazionePubblicazione,Regolamenti,,"APPROVAZIONE DELLO SCHEMA DI RENDICONTO DELL'ESERCIZIO FINANZIARIO 2025, AI SENSI DELL'ART.227 COMMA 2 DEL D.Lgs. 267/2000 E DELL'ART.18 COMMA 1 LETT. B) DEL D.Lgs 118/2011, E DELLA RELAZIONE ILLUSTRATIVA DELLA GIUNTA AI SENSI DELL'ART. 151 COMMA 6 DEL D.Lgs. 267/2000.",52.0,21/04/2026,,0.0,,,,False,False,
Delibera_52__5511_DeliberadiGiunta_Copia_52_2026,Delibera,Regolamenti,Liquidazione,"APPROVAZIONE DELLO SCHEMA DI RENDICONTO DELL'ESERCIZIO FINANZIARIO 2025, AI SENSI DELL'ART.227 COMMA 2 DEL D.Lgs. 267/2000 E DELL'ART.18 COMMA 1 LETT. B) DEL D.Lgs 118/2011, E DELLA RELAZIONE ILLUSTRATIVA DELLA GIUNTA AI SENSI DELL'ART. 151 COMMA 6 DEL D.Lgs. 267/2000. Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",9.0,03/03/2026,,0.0,,,,True,True,
Delibera_52__5511_Relazione_bilancio_consuntivo_2025_ale_,Delibera,Contabilità,Liquidazione,,49.0,09/04/2026,3449236.97,52600266.41,,,,True,False,
Delibera_52__5511_Stampa_conto_del_bilancio_2025_comp7413,Delibera,Contabilità,Liquidazione,,,,,0.0,,,,True,True,
Delibera_52__5511_attestazione_tempi_medi_di_pagamento,Delibera,Contabilità,Liquidazione,,,,2784902.68,2784902.68,,,,True,False,
Delibera_52__5511_piano_degli_indicatori_2025_497280,Delibera,Personale,Liquidazione,,,,,0.0,,,,True,True,
Delibera_52__5511_tabellaparametri_ente_strutt-_defic7277,Delibera,Personale,,,,,,0.0,,,,True,True,
Delibera_53__5512_AttestazionePubblicazione,AttestazionePubblicazione,Servizi Sociali,,"UTILIZZO E CONTABILIZZAZIONE EX ART. 1, COMMA 496, LETT. A), LEGGE 213/2023, FINANZIAMENTO SVILUPPO SERVIZI SOCIALI.",53.0,21/04/2026,,0.0,,,,False,False,
Delibera_53__5512_DeliberadiGiunta_Copia_53_2026,Delibera,Servizi Sociali,,"UTILIZZO E CONTABILIZZAZIONE EX ART. 1, COMMA 496, LETT. A), LEGGE 213/2023, FINANZIAMENTO SVILUPPO SERVIZI SOCIALI. Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",,,49581.64,49581.64,,,,True,False,
Delibera_54__5536_AttestazionePubblicazione,AttestazionePubblicazione,Contenzioso,,Concessione patrocinio morale e utilizzo Sala Alvarez de Toledo per evento “Festa dei libri e dei fumetti”; presentazione del libro “Il sale della vita” di Franco Scarpa.,54.0,27/04/2026,,0.0,,,,False,False,
Delibera_54__5536_DeliberadiGiunta_Copia_54_2026,Delibera,Contenzioso,,"Concessione patrocinio morale e utilizzo Sala Alvarez de Toledo per evento “Festa dei libri e dei fumetti”; presentazione del libro “Il sale della vita” di Franco Scarpa. Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",16.0,24/03/2026,,0.0,,,,True,True,
Delibera_55__5537_AttestazionePubblicazione,AttestazionePubblicazione,Regolamenti,,Concessione patrocinio morale all’evento “Decennale Apertura Castorini”.,55.0,27/04/2026,,0.0,,,,False,False,
Delibera_55__5537_DeliberadiGiunta_Copia_55_2026,Delibera,Contenzioso,,"Concessione patrocinio morale all’evento “Decennale Apertura Castorini”. Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",16.0,24/03/2026,,0.0,,,,False,False,
Delibera_5692025__5199_AttestazionePubblicazione,AttestazionePubblicazione,Contenzioso,Nomina,INCARICO LEGALE PER LA COSTITUZIONE NEL GIUDIZIO DI APPELLO PROPOSTO DA BFF BANK S.P.A. AVVERSO LA SENTENZA CIVILE N. 569/2025 INNANZI LA CORTE DI APPELLO DI NAPOLI. PROVVEDIMENTI.,12.0,05/02/2026,,0.0,,,,False,False,
Delibera_5692025__5199_DeliberadiGiunta_Copia_12_2026,Delibera,Contenzioso,Nomina,"INCARICO LEGALE PER LA COSTITUZIONE NEL GIUDIZIO DI APPELLO PROPOSTO DA BFF BANK S.P.A. AVVERSO LA SENTENZA CIVILE N. 569/2025 INNANZI LA CORTE DI APPELLO DI NAPOLI. PROVVEDIMENTI. Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it. Per le motivazioni espresse in narrativa, che si intendono riportate e trascritte quale parte integrante del presente dispositivo, di: 1. Autorizzare il Comune di Avella e per esso il suo Legale rappresentante, alla costituzione nel giudizio in appello innanzi la Corte di Appello di Napoli a seguito di atto di appello notificato in data 10.11.2025 al difensore costituito del Comune di Avella da parte della società BFF Bank S.p.A., in p.l.r.p.t., avverso la sentenza n. 569/2025 resa dal Tribunale Civile di Avellino nel giudizio civile recante R.G. n. 5139/2020; 2. Demandare alla sfera gestionale l’adozione degli atti di conferimento dell’incarico legale in favore dell’Avv. Emanuele Litto, del Foro di Avellino, con studio legale sito al Corso G. Garibaldi n. 22/A in Baiano (Prov. AV), quale difensore costituito nel giudizio di primo grado, con ampia facoltà in capo al Professionista di proporre anche even...",,,,0.0,,,,True,True,
Delibera_5692025__5200_AttestazionePubblicazione,AttestazionePubblicazione,Contenzioso,Nomina,INCARICO LEGALE PER LA COSTITUZIONE NEL GIUDIZIO DI APPELLO PROPOSTO DA HERA COMM S.P.A. AVVERSO LA SENTENZA CIVILE N. 569/2025 INNANZI LA CORTE DI APPELLO DI NAPOLI. PROVVEDIMENTI.,13.0,05/02/2026,,0.0,,,,False,False,
Delibera_5692025__5200_DeliberadiGiunta_Copia_13_2026,Delibera,Contenzioso,Nomina,"INCARICO LEGALE PER LA COSTITUZIONE NEL GIUDIZIO DI APPELLO PROPOSTO DA HERA COMM S.P.A. AVVERSO LA SENTENZA CIVILE N. 569/2025 INNANZI LA CORTE DI APPELLO DI NAPOLI. PROVVEDIMENTI. Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it. 1. Autorizzare il Comune di Avella e per esso il suo Legale rappresentante, alla costituzione nel giudizio in appello innanzi la Corte di Appello di Napoli a seguito di atto di appello notificato in data 27.10.2025 al difensore costituito del Comune di Avella da parte della società HERA COMM S.p.A., in p.l.r.p.t., avverso la sentenza n. 569/2025 resa dal Tribunale Civile di Avellino nel giudizio civile recante R.G. n. 5139/2020; 2. Demandare alla sfera gestionale l’adozione degli atti di conferimento dell’incarico legale in favore dell’Avv. Emanuele Litto, del Foro di Avellino, con studio legale sito al Corso G. Garibaldi n. 22/A in Baiano (Prov. AV), quale difensore costituito nel giudizio di primo grado, con ampia facoltà in capo al Professionista di proporre anche eventuali domande incidentali; 3. Precisare che la spesa derivante dall’esecuzione del presente atto è da imputarsi a carico del bilancio pluri...",,,,0.0,,,,True,True,
Delibera_57372025__5031_AttestazionePubblicazione,AttestazionePubblicazione,Contenzioso,,INCARICO LEGALE PER LA PROPOSIZIONE DI RICORSO PER CASSAZIONE AVVERSO LA SENTENZA CIVILE N. 5737/2025 RESA DALLA CORTE DI APPELLO DI NAPOLI. PROVVEDIMENTI.,147.0,22/12/2025,,0.0,,,,False,False,
Delibera_57372025__5031_DeliberadiGiunta_Copia_147_2025,Delibera,Contenzioso,,"INCARICO LEGALE PER LA PROPOSIZIONE DI RICORSO PER CASSAZIONE AVVERSO LA SENTENZA CIVILE N. 5737/2025 RESA DALLA CORTE DI APPELLO DI NAPOLI. PROVVEDIMENTI. Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",,,,0.0,,,,True,True,
Delibera_57__5539_AttestazionePubblicazione,AttestazionePubblicazione,Contenzioso,Nomina,INCARICO LEGALE PER LA COSTITUZIONE NEL GIUDIZIO INTRAPRESO DALLA SIG.RA A.A. CONTRO IL COMUNE DI AVELLA INNANZI IL TRIBUNALE CIVILE DI AVELLINO. PROVVEDIMENTI.,57.0,27/04/2026,,0.0,,,,False,False,
Delibera_57__5539_DeliberadiGiunta_Copia_57_2026,Delibera,Contenzioso,Nomina,"INCARICO LEGALE PER LA COSTITUZIONE NEL GIUDIZIO INTRAPRESO DALLA SIG.RA A.A. CONTRO IL COMUNE DI AVELLA INNANZI IL TRIBUNALE CIVILE DI AVELLINO. PROVVEDIMENTI. Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",,,,0.0,,,,True,True,
Delibera_58__5540_AttestazionePubblicazione,AttestazionePubblicazione,Personale,,Indirizzi alla delegazione trattante di parte datoriale per la contrattazione integrativa parte economica dell’anno 2026 del personale del comparto Funzioni Locali.,58.0,27/04/2026,,0.0,,,,False,False,
Delibera_58__5540_DeliberadiGiunta_Copia_58_2026,Delibera,Personale,Nomina,"Indirizzi alla delegazione trattante di parte datoriale per la contrattazione integrativa parte economica dell’anno 2026 del personale del comparto Funzioni Locali. Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",,,,0.0,,,,True,True,
Delibera_59__5541_AttestazionePubblicazione,AttestazionePubblicazione,Regolamenti,,APPROVAZIONE DELLA MACROSTRUTTURA ORGANIZZATIVA ED ORGANIGRAMMA DELL’ENTE COMUNALE. PROVVEDIMENTI.,59.0,27/04/2026,,0.0,,,,False,False,
Delibera_59__5541_DeliberadiGiunta_Copia_59_2026,Delibera,Regolamenti,,"APPROVAZIONE DELLA MACROSTRUTTURA ORGANIZZATIVA ED ORGANIGRAMMA DELL’ENTE COMUNALE. PROVVEDIMENTI. Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",,,,0.0,,,,True,True,
Delibera_59__5541_Nuovo_Organigramma_Comunale_-_all-_A,Delibera,Servizi Demografici,,,,,,0.0,,,,True,True,
Delibera_5__5118_AttestazionePubblicazione,AttestazionePubblicazione,Regolamenti,,Approvazione Protocollo d’Intesa con l’Associazione “Plastic Free – Organizzazione di Volontariato ONLUS” e indirizzi operativi per l’esecuzione.,5.0,22/01/2026,,0.0,,,,False,False,
Delibera_5__5118_DeliberadiGiunta_Copia_5_2026,Delibera,Regolamenti,,"Approvazione Protocollo d’Intesa con l’Associazione “Plastic Free – Organizzazione di Volontariato ONLUS” e indirizzi operativi per l’esecuzione. Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",,,,0.0,,,,True,True,
Delibera_5__5335_AttestazionePubblicazione,AttestazionePubblicazione,Regolamenti,,APPROVAZIONE PIANO TRIENNALE OPERE PUBBLICHE 2026/2028 ED ELENCO ANNUALE 2026,5.0,03/03/2026,,0.0,,,,False,False,
Delibera_5__5335_DELIBERA_DI_GIUNTA_23,Delibera,Regolamenti,,"Approvazione Programma annuale 2026 e triennale opere pubbliche 2026/2028 Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it. PROPOSTA DI DELIBERAZIONE DELLA GIUNTA COMUNALE OGGETTO: Approvazione Programma annuale 2026 e triennale opere pubbliche 2026/2028",166.0,01/08/2002,,0.0,,,,True,True,
Delibera_5__5335_DeliberadiConsiglio_Copia_5_2026,Delibera,Regolamenti,,"APPROVAZIONE PIANO TRIENNALE OPERE PUBBLICHE 2026/2028 ED ELENCO ANNUALE 2026 Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICE SINDACO Presente BIANCARDI DOMENICO CONSIGLIERE Presente BIANCARDI GIOVANNI CONSIGLIERE Presente CARUSO ANTONIA CONSIGLIERE Assente BIANCARDI LUIGI CONSIGLIERE Presente LONGOBARDI NICOLETTA PRESIDENTE DEL CONSIGLIO Presente CERBONE SANTINA CONSIGLIERE Presente D'AVANZO MARIA ROSARIA CONSIGLIERE Presente CACACE CHIARA CONSIGLIERE Presente MAIETTA FATIMA CONSIGLIERE Presente X Pellegrino Vittoria CONSIGLIERE Presente SALAPETE MICHELE CONSIGLIERE Presente Tot. 12 Tot. 1 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",,,,0.0,,,,True,True,
Delibera_5__5335_L_Progr_Annuale_1,Delibera,Lavori Pubblici,,,,,,0.0,,,,False,False,
Delibera_5__5335_L_Progr_Triennale_1,Delibera,Lavori Pubblici,Bando,,,,,0.0,,,,True,True,
Delibera_60__5221_AttestazionePubblicazione,AttestazionePubblicazione,Regolamenti,,"Interventi per afforzare e migliorare l’offerta educativa nella fascia di età da zero a sei anni mediante la fornitura di arredi didattici innovativi, ai sensi dell’articolo 29, comma 3, del decreto-legge 7 maggio 2024, n. 60, convertito, con modificazioni, dalla legge 4 luglio 2024, n. 95, nell’ambito del Programma Nazionale “PN Scuola e competenze” 2021- 2027, in attuazione del regolamento (UE) n. 2021/1060 per le regioni c.d. “meno sviluppate” - Approvazione del protocollo di intesa e adesione all'iniziativa",19.0,10/02/2026,,0.0,,,,False,False,
Delibera_60__5221_DeliberadiGiunta_Copia_19_2026,Delibera,Regolamenti,Bando,"Interventi per afforzare e migliorare l’offerta educativa nella fascia di età da zero a sei anni mediante la fornitura di arredi didattici innovativi, ai sensi dell’articolo 29, comma 3, del decreto-legge 7 maggio 2024, n. 60, convertito, con modificazioni, dalla legge 4 luglio 2024, n. 95, nell’ambito del Programma Nazionale “PN Scuola e competenze” 2021-2027, in attuazione del regolamento (UE) n. 2021/1060 per le regioni c.d. “meno sviluppate” - Approvazione del protocollo di intesa e adesione all'iniziativa Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",,,200500.0,202500.0,,,,True,False,
Delibera_60__5549_AttestazionePubblicazione,AttestazionePubblicazione,Pubblicazione e Trasparenza,,Esame e recepimento osservazioni al PUC,60.0,27/04/2026,,0.0,,,,False,False,
Delibera_60__5549_DeliberadiGiunta_Copia_60_2026,Delibera,Servizi Sociali,,"Esame e recepimento osservazioni al PUC Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",4.0,26/01/2026,,0.0,,,,False,False,
Delibera_60__5549_doc01890720260428103035,Delibera,Regolamenti,,,4.0,26/01/2026,,0.0,,,,True,True,
Delibera_60__allegato1770900632,Delibera,Regolamenti,Bando,,,,200500.0,200500.0,,J44D25003290007,,True,False,
Delibera_60__allegato1770900640,Delibera,Affari Generali,Bando,,,,,0.0,,J44D25003290007,,True,True,
Delibera_61__5605_AttestazionePubblicazione,AttestazionePubblicazione,Contenzioso,,"Concessione patrocinio morale e collaborazione istituzionale per la realizzazione dell’iniziativa culturale “Un pomeriggio Regency nel Giardino”, promossa dall’APS Avellarte, prevista per il giorno 17 maggio 2026 presso il Palazzo Ducale di Avella.",61.0,07/05/2026,,0.0,,,,False,False,
Delibera_61__5605_DeliberadiGiunta_Copia_61_2026,Delibera,Contenzioso,,"Concessione patrocinio morale e collaborazione istituzionale per la realizzazione dell’iniziativa culturale “Un pomeriggio Regency nel Giardino”, promossa dall’APS Avellarte, prevista per il giorno 17 maggio 2026 presso il Palazzo Ducale di Avella. Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Assente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 4 Tot. 1 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",,,,0.0,,,,False,False,
Delibera_62__5607_AttestazionePubblicazione,AttestazionePubblicazione,Pubblicazione e Trasparenza,,Adesione all’iniziativa UNICEF “DIRITTI IN COMUNE” nell’ambito del Programma “Città amiche dei bambini e degli adolescenti”.,62.0,07/05/2026,,0.0,,,,False,False,
Delibera_62__5607_DeliberadiGiunta_Copia_62_2026,Delibera,Servizi Sociali,,"Adesione all’iniziativa UNICEF “DIRITTI IN COMUNE” nell’ambito del Programma “Città amiche dei bambini e degli adolescenti”. Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Assente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 4 Tot. 1 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",,,,0.0,,,,True,True,
Delibera_63__5608_AttestazionePubblicazione,AttestazionePubblicazione,Commercio,,"Adesione al progetto “Il Cammino di Santa Filomena” e approvazione dello schema di Protocollo d’Intesa per la realizzazione, valorizzazione e promozione dell’iniziativa.",63.0,07/05/2026,,0.0,,,,False,False,
Delibera_63__5608_DeliberadiGiunta_Copia_63_2026,Delibera,Commercio,Nomina,"Adesione al progetto “Il Cammino di Santa Filomena” e approvazione dello schema di Protocollo d’Intesa per la realizzazione, valorizzazione e promozione dell’iniziativa. Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Assente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 4 Tot. 1 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",16.0,24/03/2026,,0.0,,,,False,False,
